Country\year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union (28 countries),5657987.35,5554573.05,5385811.99,5285472.73,5249835.76,5294873.94,5408864.70,5312368.26,5271946.12,5166089.87,5155594.61,5206084.13,5172149.06,5260743.78,5262043.65,5226495.34,5215586.09,5164853.03,5046971.79,4675074.81,4779612.47,4626768.71,4568546.27,4471235.92,4293697.12,4325015.41,4302752.66,4317624.81,4223100.18,4057594.57
Japan,1269015.30,1283386.64,1295604.15,1291284.87,1352190.75,1373757.63,1386211.81,1378930.08,1330542.77,1353959.95,1373754.87,1348108.69,1372028.55,1378772.44,1370202.43,1377912.87,1356610.44,1391882.93,1319257.64,1247100.64,1300451.71,1351251.66,1394043.99,1405888.61,1356588.54,1318516.70,1301855.89,1288528.72,1245020.89,1209493.35
Russia,3158804.34,2997928.59,2519559.58,2382405.22,2120840.38,2068333.80,2017432.58,1899548.64,1867753.70,1897296.71,1891846.01,1926302.45,1903699.11,1936360.29,1947980.21,1965384.74,2024782.86,2022728.31,2057617.56,1921605.98,2013432.45,2070533.86,2095638.94,2037755.83,2037987.26,2035889.30,2037209.58,2071543.37,2133581.60,2119432.41
United States,6442650.63,6373621.14,6486343.84,6604349.89,6691822.83,6775860.25,6981165.38,7036508.04,7083269.27,7125399.03,7313616.49,7202956.51,7244301.89,7301363.18,7415471.11,7423031.03,7344462.85,7449616.03,7224648.98,6772000.07,6991106.34,6827402.42,6585907.77,6764669.11,6824956.71,6671112.07,6520337.84,6483291.33,6671449.40,6558345.18
