Country\year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Estonia,"41,045.49","37,099.98","27,159.79","21,714.30","22,223.27","20,273.77","21,180.71","20,759.07","19,021.44","17,850.09","17,495.87","17,933.88","17,342.07","19,284.11","19,482.32","19,257.08","18,598.88","22,206.85","20,083.66","16,661.56","21,218.19","21,286.17","20,114.88","22,019.84","21,176.38","18,139.32","19,808.93","21,066.44","20,206.36","14,699.12"
European Union (28 countries),"5,657,987.35","5,554,573.05","5,385,811.99","5,285,472.73","5,249,835.76","5,294,873.94","5,408,864.70","5,312,368.26","5,271,946.12","5,166,089.87","5,155,594.61","5,206,084.13","5,172,149.06","5,260,743.78","5,262,043.65","5,226,495.34","5,215,586.09","5,164,853.03","5,046,971.79","4,675,074.81","4,779,612.47","4,626,768.71","4,568,546.27","4,471,235.92","4,293,697.12","4,325,015.41","4,302,752.66","4,317,624.81","4,223,100.18","4,057,594.57"
Finland,"71,075.01","68,976.83","67,537.17","69,802.06","75,330.90","71,663.00","77,655.59","76,353.40","72,656.18","72,039.29","70,162.59","75,489.95","77,917.81","85,538.07","81,850.13","69,851.38","81,228.18","79,574.36","71,465.37","67,828.41","75,621.63","67,876.63","62,402.31","62,797.27","58,659.76","55,087.28","58,007.00","55,230.18","56,281.82","53,021.25"
France,"547,127.83","573,267.01","562,724.82","541,994.08","534,183.17","540,263.49","558,535.54","551,315.86","564,794.56","558,542.13","552,419.16","557,716.37","551,773.94","556,025.60","554,919.88","555,961.77","545,436.42","535,685.05","528,370.73","506,423.66","513,461.78","488,902.16","490,286.17","491,502.99","461,188.53","464,205.67","467,060.00","470,564.32","452,034.46","442,984.67"
Germany,"1,248,576.92","1,202,060.55","1,152,179.82","1,142,845.27","1,124,864.86","1,120,555.25","1,138,786.14","1,103,880.95","1,078,775.63","1,044,927.44","1,042,612.09","1,058,745.06","1,037,234.57","1,034,137.58","1,017,525.75","992,529.52","999,354.67","973,768.63","974,780.35","908,688.45","941,805.34","917,273.60","923,342.03","940,419.54","901,255.14","904,261.81","907,967.91","892,075.67","855,890.41","809,798.54"
Greece,"103,289.46","103,344.25","104,588.35","104,188.43","106,975.03","109,310.88","112,456.89","117,357.20","122,954.80","123,112.81","126,470.88","127,524.66","127,540.10","131,279.63","131,960.69","136,423.69","132,517.99","135,149.01","131,825.16","124,619.09","118,500.04","115,571.73","112,305.52","102,684.38","99,257.81","95,463.98","91,821.84","95,600.99","92,308.35","85,630.94"
Hungary,"94,786.97","88,314.62","78,141.77","79,352.66","78,422.09","77,193.25","79,547.54","78,006.79","77,397.32","77,819.98","74,916.73","76,856.85","75,137.62","78,042.77","76,960.89","76,717.56","75,506.65","73,725.54","71,584.01","65,402.83","66,056.58","64,354.14","60,957.51","58,068.18","58,407.72","61,516.67","62,258.59","64,716.42","64,735.40","64,433.17"
Iceland,"3,682.90","3,466.17","3,380.97","3,466.10","3,398.24","3,513.11","3,571.74","3,739.40","3,883.44","4,105.32","4,126.80","4,018.74","4,113.32","4,073.43","4,174.60","4,022.91","4,606.48","4,901.10","5,299.94","4,966.28","4,866.27","4,647.06","4,657.36","4,654.39","4,685.66","4,763.99","4,716.62","4,795.42","4,822.19","4,722.35"
India,"853,051.00","924,155.00","995,259.00","1,066,363.00","1,214,248.00","1,208,571.00","1,279,675.00","1,350,779.00","1,421,883.00","1,492,987.00","1,523,766.56","1,635,195.00","1,706,299.00","1,777,403.00","1,848,507.00","1,919,611.00","1,990,715.00","2,061,819.00","2,132,923.00","2,204,027.00","2,100,849.73","22,751,531.00","2,346,235.00","2,417,339.00","2,488,443.00","2,559,547.00","2,839,424.95","2,701,755.00","2,843,963.00","2,915,067.00"
Indonesia,"266,818.39","292,610.40","306,828.59","318,657.49","334,191.21","363,900.00","387,120.00","410,340.00","433,560.00","503,220.00","554,333.48","537,949.00","545,911.00","559,139.00","583,101.00","590,736.00","610,242.00","607,947.00","629,710.00","628,562.00","685,711.00","726,262.00","757,250.00","796,579.00","864,948.00","907,334.00","883,224.00","874,740.00","897,960.00","921,180.00"
Iran,"320,649.00","337,022.00","353,395.00","369,768.00","385,433.30","402,514.00","418,887.00","435,260.00","468,006.00","473,513.00","483,669.17","500,712.00","517,125.00","533,498.00","549,871.00","566,244.00","582,617.00","598,990.00","615,363.00","631,736.00","648,109.00","664,482.00","680,855.00","697,228.00","713,601.00","729,974.00","746,347.00","762,720.00","779,093.00","795,466.00"
Ireland,"54,400.32","55,210.27","55,196.53","55,739.95","57,215.06","58,740.88","60,904.77","62,361.15","64,942.47","66,202.87","68,458.71","70,487.21","68,623.05","69,032.77","68,384.55","70,264.34","69,620.58","68,591.57","68,131.46","62,356.37","61,949.41","57,793.58","58,785.14","58,570.58","58,062.57","60,431.95","62,475.14","62,114.86","62,526.01","59,777.64"
Israel,"52,132.00","52,856.00","53,665.00","54,493.00","55,789.00","56,234.00","57,653.00","60,254.00","62,351.00","66,543.00","67,163.00","67,953.00","68,650.00","69,819.57","70,143.55","70,737.36","72,085.30","75,306.52","76,683.37","72,843.85","75,694.83","77,842.96","83,789.44","78,235.48","75,994.77","79,125.78","78,984.71","77,903.68","78,583.90","79,123.00"
Italy,"518,720.44","519,790.53","518,700.85","511,619.71","505,633.37","532,004.11","526,379.22","534,061.59","546,488.85","551,759.95","555,466.30","557,199.40","563,138.01","582,409.71","587,933.32","589,071.61","578,514.65","573,010.14","560,119.14","505,218.99","516,473.73","503,645.26","484,218.02","449,178.94","427,930.41","440,436.70","437,696.09","432,713.74","428,549.35","418,280.60"
Japan,"1,269,015.30","1,283,386.64","1,295,604.15","1,291,284.87","1,352,190.75","1,373,757.63","1,386,211.81","1,378,930.08","1,330,542.77","1,353,959.95","1,373,754.87","1,348,108.69","1,372,028.55","1,378,772.44","1,370,202.43","1,377,912.87","1,356,610.44","1,391,882.93","1,319,257.64","1,247,100.64","1,300,451.71","1,351,251.66","1,394,043.99","1,405,888.61","1,356,588.54","1,318,516.70","1,301,855.89","1,288,528.72","1,245,020.89","1,209,493.35"
Kazakhstan,"385,022.01","369,854.70","343,664.77","308,227.87","261,023.63","244,275.60","226,180.16","218,834.89","215,135.64","189,021.64","219,030.46","212,958.38","235,320.55","257,075.16","263,901.35","277,740.39","295,020.60","296,551.53","291,519.01","279,646.42","303,286.40","293,268.93","296,890.24","304,663.39","331,205.22","341,342.71","342,616.69","364,180.03","375,581.98","354,869.62"
Korea,"292,190.35","315,459.80","343,481.57","378,674.17","403,690.03","433,892.37","470,463.21","502,115.45","431,531.81","469,518.96","502,865.87","516,143.48","538,627.47","548,987.64","557,255.12","560,923.34","567,309.24","580,751.92","593,853.57","597,982.54","656,322.62","684,929.54","688,308.06","697,383.69","691,932.56","692,514.57","693,534.82","709,749.97","727,633.30","732,651.00"
Latvia,"25,868.20","23,972.13","19,200.11","15,782.96","13,831.35","12,447.95","12,502.59","11,948.96","11,450.55","10,674.14","10,059.49","10,646.48","10,617.13","10,791.90","10,759.86","10,934.36","11,414.91","11,863.26","11,416.34","10,730.92","11,820.12","11,029.89","10,851.36","10,763.41","10,671.01","10,724.86","10,716.53","10,757.14","11,260.72","11,132.14"
Liechtenstein,228.51,236.06,236.27,243.40,229.77,233.59,235.90,248.47,259.43,256.43,247.05,246.62,252.95,263.07,263.29,263.69,267.28,238.09,257.85,243.11,228.16,215.33,224.50,230.72,199.70,198.05,187.52,193.03,180.69,187.11
Lithuania,"47,792.29","49,786.07","30,616.92","24,550.93","23,187.14","22,201.60","23,248.78","22,815.56","23,781.00","20,968.07","19,425.84","20,228.95","20,608.07","20,776.24","21,593.77","22,700.12","22,990.58","25,170.92","24,192.34","19,902.23","20,742.36","21,338.66","21,261.46","20,024.00","19,986.69","20,283.04","20,311.83","20,518.88","20,150.10","20,367.85"
Luxembourg,"12,727.38","13,371.04","13,134.73","13,286.22","12,458.13","10,084.08","10,148.60","9,495.63","8,614.78","9,079.66","9,658.18","10,151.68","10,928.76","11,373.29","12,765.15","13,005.05","12,836.67","12,253.91","12,141.35","11,596.40","12,176.42","12,052.77","11,807.44","11,270.40","10,807.26","10,324.43","10,082.90","10,266.98","10,565.23","10,742.80"
Malta,"2,595.50","2,450.25","2,519.74","3,106.01","2,889.41","2,685.61","2,809.37","2,824.80","2,790.41","2,877.95","2,813.23","2,939.15","2,990.68","3,271.00","3,161.12","2,985.10","3,040.33","3,136.83","3,076.79","2,892.11","2,968.46","2,972.04","3,181.48","2,871.60","2,905.19","2,220.08","1,902.48","2,060.88","2,041.17","2,174.72"
Mexico,"444,741.58","453,231.87","455,133.32","458,498.73","482,721.51","471,385.13","493,529.77","517,909.70","543,847.61","529,229.90","544,660.10","537,610.98","557,652.41","563,298.30","574,316.76","592,587.22","616,361.70","646,665.30","691,822.34","671,577.38","669,084.03","681,190.36","673,721.90","683,120.59","686,159.50","699,564.27","725,840.00","736,830.00","747,820.00","758,810.00"
Monaco,102.73,103.59,109.23,108.19,108.89,105.53,109.84,107.95,107.16,108.12,109.00,106.86,107.18,104.49,100.36,98.15,92.66,92.57,93.04,91.08,87.92,85.52,87.53,90.53,84.89,87.70,86.71,85.76,87.13,82.54
Netherlands,"219,604.10","227,263.86","227,948.36","228,694.79","229,571.52","229,639.35","240,424.69","232,386.44","232,779.11","219,336.65","217,577.76","218,271.57","216,093.44","216,742.96","218,288.46","212,553.10","207,510.09","205,894.05","205,315.85","199,722.20","211,675.15","197,327.07","193,081.48","193,387.53","185,617.27","192,712.73","193,101.02","190,567.47","186,318.55","180,309.09"
New Zealand,"65,129.23","66,005.34","67,153.49","66,913.44","68,135.38","68,913.13","70,973.41","73,669.13","71,569.28","73,366.38","75,397.63","78,386.36","78,563.49","80,733.64","80,548.79","82,486.17","82,518.41","80,522.57","80,605.45","77,881.95","78,316.41","78,149.24","80,446.28","79,827.77","80,674.00","80,724.44","78,678.36","80,282.00","80,578.31","82,317.88"
